prompt,response,clauses_text_final,voice,idx,abstraction_score_normalized,reading_ease_normalized,grading_level_normalized
When I am criticized,"a process of defense, consideration, values, perspective, and response occurs - sometimes it takes 500 milliseconds and sometimes it takes a little longer. The process can be cyclical.","['a process of defense consideration values perspective and response', 'occurs sometimes', 'it takes 500 milliseconds and', 'sometimes it takes a little longer', 'The process can be cyclical']","['Undefined', 'A_def', 'A_def', 'A_def', 'P_bevb_x']",143,"[1.0, 1.0, 1.0, 0.56, 1.0]","[0.27, 0.25, 0.11, 0.1, 0.06]","[0.32, 0.26, 0.13, 0.12, 0.08]"
When people are helpless,I want to help.,['I want to help'],"['A_def', 'A_def']",144,[0.88],[0.01],[0.02]
Privacy,is both illusion and actual.,['is both illusion and actual'],['P_bevb_x'],145,[1.0],[0.21],[0.23]
My main problem is,only a main problem if I think it is.,"['only a main problem', 'if I think', 'it is']","['Undefined', 'A_def', 'P_bevb_x']",146,"[0.56, 0.88, 0.0]","[0.13, 0.01, 0.0]","[0.15, 0.02, 0.01]"
I am,"subject becoming object, ad infinitum, until there is simply all-that-is unfolding.","['subject', 'becoming object ad infinitum', 'until there is simply all', 'that is unfolding']","['Undefined', 'A_def', 'P_bevb_x', 'P_bevb_x']",147,"[1.0, 1.0, 0.56, 0.56]","[0.25, 0.32, 0.11, 0.17]","[0.25, 0.34, 0.13, 0.18]"
What I like to do best is,share physical activities with others and feel the energy that pulses from each person.,"['share physical activities with others and', 'feel the energy', 'that pulses from each person']","['Undefined', 'A_def', 'A_def']",148,"[1.0, 0.56, 1.0]","[0.26, 0.17, 0.11]","[0.29, 0.18, 0.13]"
People who step out of line,are sometimes judged unfairly by others because they reveal the artificiality of what is \&quot;expected.\&quot;,"['are sometimes judged unfairly by others', 'because they reveal the artificiality of', 'what is expected']","['P_bevb_x', 'A_def', 'P_bevb_x']",149,"[0.56, 1.0, 1.0]","[0.18, 0.31, 0.17]","[0.21, 0.33, 0.18]"
Business and society,is in a transition point right now and could be so much more in service to the global good. ,"['is in a transition point right now and', 'could be so much more in service to the global good']","['P_bevb_x', 'P_bevb_x']",150,"[0.56, 1.0]","[0.08, 0.08]","[0.12, 0.13]"
My conscience bothers me if,I speak poorly of others.,['I speak poorly of others'],['A_def'],151,[0.88],[0.11],[0.13]
When they avoided me,"I kept going, maybe giving it a quick thought as to \&quot;why?\&quot;, but generally thinking or expecting that if they WERE avoiding me, it would soon become clear, either by their consistent avoiding behavior or by me going to ask them about their behavior.","['I kept going maybe giving it a quick thought as to why but', 'generally thinking or', 'if they WERE avoiding me', 'that it would soon become clear either by their consistent avoiding behavior or by me', 'going to ask them about their behavior']","['A_def', 'A_def', 'A_def', 'A_def', 'P_bevb_x', 'P_bevb_x', 'A_pron_x', 'A_pron_x', 'A_pron_x']",152,"[1.0, 0.56, 0.56, 1.0, 0.56]","[0.07, 0.34, 0.06, 0.16, 0.13]","[0.14, 0.35, 0.08, 0.23, 0.16]"
My conscience bothers me if,I\'m mean to someone.,['I m mean to someone'],"['A_def', 'A_def']",153,[0.88],[0.06],[0.08]
When they avoided me,hmmm... I\&#039;m stumped. I have no idea how to respond to this... Although there is a sense of relief...,"['I have no idea', 'how to respond to this', 'Although there is a sense of relief']","['P_bevb_x', 'A_def', 'P_bevb_x']",154,"[0.88, 0.56, 0.56]","[0.01, 0.06, 0.09]","[0.02, 0.08, 0.12]"
The thing I like about myself is,"that I am continually learning new things about life, growing spiritually, and sharing what I am experiencing with others who are on a similar journey. What a great honor it is to live this life in ever evolving awareness.","['that I am continually learning new things about life growing spiritually and', 'what I am experiencing with others', 'who are on a similar journey', 'What a great honor it is to live this life in', 'ever evolving awareness']","['P_bevb_x', 'A_def', 'P_bevb_x', 'P_bevb_x', 'P_bevb_x', 'A_def', 'A_def']",155,"[1.0, 1.0, 0.56, 0.56, 0.56]","[0.24, 0.22, 0.14, 0.05, 0.26]","[0.3, 0.25, 0.17, 0.11, 0.27]"
My main problem is,"trying to \&#039;wrestle with the angel\&#039;.  The Vision is so Vast, there is no way that my human mind can \&#039;wrap itself around it\&#039;.  It doesn\&#039;t know how.  Interestingly, my virtual assistant, Melanie Davis, whom I\&#039;ve never met \&#039;face to face\&#039;, brought to my awareness the Mission of Called By Love Institute when she said that the two people who are part of our core team working on building the new website seem to be doing it!  The Mission calls it \&#039;Harnessing the Power of Love…\&#039;","['trying to wrestle with the angel', 'The Vision is so Vast', 'there is no way', 'that my human mind can wrap itself around it', 'It doesn t know how Interestingly my virtual assistant Melanie Davis', 'I ve never met face whom to face', 'brought to my awareness the Mission of', 'Called By Love Institute', 'when she said', 'who are part of our core team', 'working on', 'building the new website', 'that the two people seem to be doing it', 'The Mission calls it Harnessing the Power of Love']","['A_def', 'A_def', 'P_bevb_x', 'P_bevb_x', 'A_pron_x', 'P_bevb_x', 'A_pron_x', 'A_def', 'A_pron_x', 'A_def', 'A_def', 'A_pron_x', 'A_def', 'A_def', 'P_bevb_x', 'P_bevb_x', 'A_def', 'A_def']",156,"[0.56, 0.56, 0.56, 1.0, 0.88, 1.0, 0.56, 1.0, 0.56, 1.0, 0.56, 0.56, 0.56, 1.0]","[0.14, 0.06, 0.01, 0.08, 0.21, 0.05, 0.09, 0.13, 0.01, 0.02, 0.13, 0.13, 0.08, 0.14]","[0.17, 0.08, 0.02, 0.12, 0.26, 0.09, 0.12, 0.15, 0.02, 0.05, 0.13, 0.15, 0.12, 0.18]"
Change is,"Difficult, frustrating, fearful yet beautiful, profound and transforming - The universal-will is always in flux, and how I align myself with this movement has a direct effect on my peace of mind.","['Difficult frustrating fearful yet beautiful profound and', 'transforming The universal', 'will is always in flux and', 'how I align myself with this movement', 'has a direct effect on my peace of mind']","['P_get_x', 'A_def', 'P_bevb_x', 'A_def', 'A_pron_x']",157,"[1.0, 0.56, 0.56, 0.88, 1.0]","[0.3, 0.34, 0.06, 0.09, 0.08]","[0.34, 0.35, 0.08, 0.12, 0.12]"
Privacy,is to be respected and not invaded. Different people have different requirements for privacy.,"['is to be respected and', 'not invaded', 'Different people have different requirements for privacy']","['P_bevb_x', 'P_bevb_x', 'A_def', 'P_bevb_x']",158,"[1.0, 0.56, 1.0]","[0.11, 0.25, 0.34]","[0.13, 0.26, 0.37]"
What I like to do best is,Meditate and rest in bliss. In that place and space there is nothing ever missing and the mind can finally stop seeking and just shut up and be. I also enjoy snuggling my children and cat.,"['Meditate and', 'rest in bliss', 'In that place and space there is nothing and', 'ever missing', 'the mind can finally stop seeking and', 'just shut up and be', 'I also enjoy snuggling my children and cat']","['A_def', 'A_def', 'P_bevb_x', 'A_def', 'P_bevb_x', 'P_bevb_x', 'P_bevb_x', 'A_pron_x', 'A_pron_x']",159,"[0.56, 0.56, 1.0, 0.56, 1.0, 0.56, 1.0]","[0.25, 0.01, 0.05, 0.25, 0.13, 0.01, 0.15]","[0.26, 0.02, 0.09, 0.26, 0.16, 0.03, 0.18]"
When I get mad,"I get angry and sometimes I express it alone, other times it gets repressed, other times I feel it move through me. Other times I express it and my mind vents itself through various ways. I am not afraid of getting mad, only careful not to hurt other beings with that mad if it arises. Sometimes the anger energy is directed by the soul and does something that re-directs another being in a way that I would not normally do myself. It does not happen much, but it does occur. I can tell when it is that and we my ego is just being reactive.","['I get angry and', 'sometimes I express it alone other times', 'it gets repressed other times', 'I feel', 'it move through me', 'Other times I express it and my mind', 'vents itself through various ways', 'I am not afraid of', 'getting mad only careful not to hurt other beings with that mad', 'if it arises', 'Sometimes the anger energy is directed by the soul and', 'does something', 'that re', 'directs another being in a way', 'that I would not normally do myself', 'It does not happen much', 'but it does occur', 'I can tell', 'when it is that', 'and we my ego is just being reactive']","['P_get_x', 'A_def', 'A_def', 'A_def', 'A_def', 'A_pron_x', 'A_def', 'P_bevb_x', 'P_get_x', 'A_def', 'A_def', 'P_bevb_x', 'P_bevb_x', 'A_def', 'P_bevb_x', 'P_bevb_x', 'P_bevb_x', 'P_bevb_x', 'P_bevb_x', 'P_bevb_x', 'A_pron_x']",160,"[0.88, 0.88, 0.56, 0.88, 0.56, 0.88, 0.56, 0.88, 1.0, 0.48, 1.0, 0.56, 0.56, 1.0, 0.88, 1.0, 1.0, 1.0, 0.56, 1.0]","[0.07, 0.13, 0.11, 0.0, 0.01, 0.08, 0.16, 0.01, 0.14, 0.09, 0.15, 0.13, 0.0, 0.18, 0.13, 0.06, 0.07, 0.01, 0.01, 0.11]","[0.09, 0.16, 0.13, 0.01, 0.02, 0.12, 0.18, 0.03, 0.2, 0.1, 0.2, 0.13, 0.01, 0.21, 0.16, 0.08, 0.09, 0.02, 0.02, 0.15]"
When I am criticized,"if I am depleted, I tend to take the criticism as an attack.  When I am full, I see the criticism as feedback from someone else, discern what I find helpful in my own growth, and how I want to respond given the core message they are trying to deliver and the situation in total.","['if I am depleted', 'I tend to take the criticism as an attack', 'When I am full', 'I see', 'the criticism as feedback from someone else discern', 'what I find helpful in my own growth and', 'I want how to respond', 'given the core message and the situation in total', 'they are trying to deliver']","['P_bevb_x', 'A_def', 'A_def', 'P_bevb_x', 'A_def', 'A_def', 'A_pron_x', 'A_def', 'A_def', 'A_def', 'P_bevb_x', 'A_def']",161,"[0.88, 1.0, 0.88, 0.88, 1.0, 0.88, 0.88, 1.0, 0.56]","[0.13, 0.11, 0.01, 0.0, 0.18, 0.05, 0.06, 0.19, 0.16]","[0.15, 0.15, 0.02, 0.01, 0.21, 0.09, 0.08, 0.23, 0.18]"
Being with other people,"is a joy and a challenge.  I find people fascinating.  I love hearing their stories, their dreams and their challenges.  Every person brings a different perspective to the world.  They are both my teachers and students.  My physical consciousness is changed by each person I meet and interact with -- sometimes consciously, sometimes not.  Each person is different each time I interact with them, and yet they are not.  Experiencing these differences and similarities helps me grow and evolve.  In these interactions, up until now I tend to absorb others\' energy (or rather it resonates with energy already inside of me).  I continue to practice staying with what is in this moment so that as my energy \""goes up and down\"" with that resonance, it does not get stuck in my body.","['is a joy and a challenge', 'I find people fascinating', 'I love hearing their stories their dreams and their challenges', 'Every person brings a different perspective to the world', 'They are both my teachers and students', 'My physical consciousness is changed by each person', 'I meet and', 'interact with sometimes', 'consciously sometimes not Each person is different each time', 'I interact with them', 'and yet they are not Experiencing these differences and similarities', 'helps', 'me grow and', 'evolve In these interactions up until now', 'I tend to absorb others energy or already inside of me', 'rather it resonates with energy', 'I continue to practice staying with', 'what is in this moment', 'as my energy goes up and down with that resonance', 'not get', 'so that it does stuck in my body']","['P_bevb_x', 'A_def', 'A_pron_x', 'A_pron_x', 'A_def', 'A_pron_x', 'A_pron_x', 'A_def', 'A_def', 'P_bevb_x', 'A_def', 'P_bevb_x', 'A_def', 'A_def', 'A_def', 'A_def', 'A_def', 'A_def', 'A_def', 'A_def', 'A_def', 'P_bevb_x', 'A_pron_x', 'A_def', 'A_pron_x']",162,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.88, 1.0, 1.0, 1.0, 1.0, 0.56, 0.56, 1.0, 0.88, 0.56, 1.0, 0.56, 1.0, 0.56, 1.0]","[0.06, 0.26, 0.1, 0.19, 0.09, 0.18, 0.01, 0.26, 0.19, 0.13, 0.28, 0.0, 0.01, 0.16, 0.17, 0.16, 0.18, 0.06, 0.13, 0.0, 0.02]","[0.08, 0.27, 0.15, 0.23, 0.12, 0.21, 0.02, 0.27, 0.23, 0.15, 0.32, 0.0, 0.02, 0.19, 0.22, 0.18, 0.21, 0.08, 0.17, 0.01, 0.06]"
I feel sorry,I feel sorry when a situation deteriorates knowing it was caused by misperceptions and miscommunication.,"['I feel sorry', 'when a situation deteriorates knowing', 'it was caused by misperceptions and miscommunication']","['P_get_x', 'A_def', 'P_bevb_x']",163,"[0.88, 0.56, 1.0]","[0.09, 0.41, 0.3]","[0.1, 0.43, 0.34]"
Raising a family,"is a cosmos raising its fullness. The concrete, subtle and causal flourishing emerges from an ocean of eternal wholeness. Within each moment is an eternity birthing an eternity in motion and this motion gestures and forms its way through matter, through emotion, through mind, through spirit. Family is this; a collective flourishing of a fullness nested within an emptiness. Every face, context, emotional, mental, and causal articulation, is the One ocean weaving its vast impregnated soul in a myriad of nuances. Every face is one collective motion through all levels all layer of concrete, subtle causal. Every face is the One eternal face. Raising a family is the Divine-as-parent embracing the Divine-as-child, both embracing as Godhead and becoming each nuanced heart of the illusion of other. The sacred heart is everywhere and is the fabric is everything. The family is a small collective nested within the ocean of constituting God-threads.","['is a cosmos', 'raising its fullness', 'The concrete subtle and causal flourishing emerges from an ocean of eternal wholeness Within each moment is an eternity', 'birthing an eternity in motion and this motion gestures and through spirit Family', 'forms its way through matter through emotion through mind', 'is this a collective flourishing of a fullness', 'nested within an emptiness', 'Every face context emotional mental and causal articulation is the One ocean', 'weaving its vast impregnated soul in a myriad of nuances', 'Every face is one collective motion through all levels all layer of concrete subtle causal', 'Every face is the One eternal face', 'Raising a family', 'is the Divine as parent', 'embracing the Divine as', 'child both embracing as Godhead and', 'becoming each nuanced heart of the illusion of other The sacred heart', 'is everywhere and', 'is the fabric', 'is everything', 'The family is a small collective', 'nested within the ocean of', 'constituting God threads']","['P_bevb_x', 'A_pron_x', 'P_bevb_x', 'A_def', 'A_pron_x', 'P_bevb_x', 'A_def', 'P_bevb_x', 'A_pron_x', 'P_bevb_x', 'P_bevb_x', 'A_def', 'P_bevb_x', 'A_def', 'A_def', 'A_def', 'P_bevb_x', 'P_bevb_x', 'P_bevb_x', 'P_bevb_x', 'A_def', 'A_def']",164,"[1.0, 0.56, 1.0, 0.56, 0.56, 1.0, 0.56, 1.0, 1.0, 1.0, 1.0, 0.56, 0.56, 1.0, 1.0, 1.0, 0.56, 1.0, 0.56, 1.0, 1.0, 1.0]","[0.09, 0.17, 0.19, 0.19, 0.08, 0.18, 0.2, 0.22, 0.2, 0.18, 0.09, 0.26, 0.11, 0.2, 0.14, 0.18, 0.17, 0.09, 0.25, 0.18, 0.11, 0.26]","[0.1, 0.18, 0.28, 0.25, 0.12, 0.21, 0.21, 0.28, 0.25, 0.25, 0.12, 0.27, 0.13, 0.21, 0.17, 0.24, 0.18, 0.1, 0.26, 0.21, 0.13, 0.27]"
Being with other people,"Is like sitting within the sacred heart of God. We are all in the room of Its expansive heart, embracing us, passing through us, forming every bit of who we are and the life that holds us. Being with other people allows a \&#039;sliding\&#039; of the self within \&#039;me\&#039; to become the multiplicity of selfs that are the fullness of the emptiness of the One. Here we are at the same time above all the motion, above all the qualities, and at one with all the motions and all the qualities; to simultaneously be beyond the many, and infused as the many, taking on all the faces of the Divines self as one own heart; the heart of the heart that both holds us all and is the fabric of us all.","['Is like', 'sitting within the sacred heart of God', 'We are all in the room of Its expansive heart', 'embracing us passing through us forming every bit of and the life', 'who we are', 'that holds', 'us Being with other people', 'allows', 'a sliding of the self within me to become the multiplicity of selfs', 'that are the fullness of the emptiness of the One', 'Here we are at the same time above all the motion above all the qualities and at one with all the motions and all the qualities', 'to simultaneously be beyond the many and', 'infused as', 'the many taking on all the faces of the Divines self as one own heart the heart of the heart', 'that both holds us all and', 'is the fabric of us all']","['P_bevb_x', 'A_def', 'A_pron_x', 'A_def', 'A_def', 'A_def', 'P_bevb_x', 'A_def', 'P_bevb_x', 'A_def', 'A_def', 'P_bevb_x', 'P_bevb_x', 'P_bevb_x', 'A_def', 'A_def', 'A_def', 'P_bevb_x']",165,"[0.88, 1.0, 0.88, 1.0, 0.56, 0.56, 0.56, 0.0, 1.0, 0.56, 0.56, 0.56, 0.56, 1.0, 0.56, 1.0]","[0.0, 0.13, 0.08, 0.14, 0.01, 0.0, 0.16, 0.25, 0.17, 0.08, 0.13, 0.23, 0.13, 0.08, 0.01, 0.06]","[0.01, 0.16, 0.12, 0.2, 0.02, 0.01, 0.18, 0.25, 0.23, 0.12, 0.26, 0.26, 0.13, 0.18, 0.04, 0.08]"
Education,"is the mind of meaning making being propelled by the \&#039;Mind\&quot; of god to move and interact with itself to arrive at what feels like moments of fruition. At a wider holding, there is no need to make meaning, but within that, the one Ocean serves itself as threads through time and in space forming an evolution of matter, to mind, to soul, to illumination…in this trajectory, education is the process by which the whole feeds the whole to fulfill its desire to create meaning, and then go beyond it…however, the creation of the meaning and the creation of the no need to make meaning, are the majestic causal forces; an eternity forming endless distinction that beautifully build upon each other as the Causal Ocean creates a fullness within an emptiness.","['is the mind of meaning making being propelled by the Mind of god to move and', 'interact with itself', 'to arrive at', 'what feels like moments of fruition At a wider holding', 'there is no need but', 'to make meaning', 'within that the one Ocean serves itself as threads through time and', 'forming an evolution of matter in this trajectory education', 'to mind to soul to illumination', 'in space is the process', 'by which the whole feeds the whole', 'to fulfill its desire and', 'to create meaning', 'then go beyond it however', 'to make meaning', 'the creation of the meaning and the creation of the no need are the majestic causal forces', 'forming endless distinction', 'that beautifully build upon each other as the Causal Ocean', 'an eternity creates a fullness within an emptiness']","['P_bevb_x', 'P_bevb_x', 'P_bevb_x', 'A_def', 'A_def', 'A_def', 'A_def', 'P_bevb_x', 'A_def', 'A_def', 'A_def', 'A_def', 'P_bevb_x', 'A_def', 'A_pron_x', 'A_def', 'A_def', 'A_def', 'P_bevb_x', 'A_def', 'A_def', 'A_def']",166,"[0.56, 1.0, 0.48, 0.56, 0.56, 0.56, 1.0, 1.0, 0.56, 1.0, 1.0, 0.56, 1.0, 0.56, 0.56, 1.0, 1.0, 1.0, 1.0]","[0.11, 0.26, 0.09, 0.08, 0.01, 0.09, 0.07, 0.3, 0.18, 0.01, 0.02, 0.11, 0.17, 0.16, 0.09, 0.12, 0.34, 0.15, 0.21]","[0.19, 0.27, 0.1, 0.12, 0.03, 0.1, 0.13, 0.34, 0.21, 0.03, 0.05, 0.13, 0.18, 0.18, 0.1, 0.21, 0.35, 0.2, 0.25]"
A good boss,"identifies with every employee as an expression and outpouring of the One. He or she can \&#039;slide\&#039; into multiple perspectives and qualities of being, and stage perspectives simultaneously, while at the same time identify with something beyond these perspectives and qualities. A good boss is moved and constituted by the Source. Actions are initiated by a following forth of a fullness emerging from a Wholeness, moving through the boss and forming the boss. Knowings come straight from the causal whole, about how to move and about the complex dynamics that arise within group life. The \&#039;call\&#039; is the natural resting into the ever-present Ocean of Delight. The response is the causal sacred heart that exists through the outside to the inside and vice versa interpenetrating with and illuminating the actions of the individual in the form of a boss. But to stop here, portrays an image of unity as a veil separate from the unity within division. A good boss is an uprightness that is expressed through every stage of development, through multiple faces as the causal wholeness moves through and forms the multiple layers of the collective &#x28;concrete, subtle, causal, and beyond&#x29;. A good boss could never be an expression of one perspective, even a huge perspective, even a unity perspective. To do that renders the unity perspective incomplete and divided. A good boss is the stone that emanates antiquity and profound spaciousness. A good boss is the tree that grows towards the sun. A good boss, is the squirrel that remains forever committed to the qualities of squirrel. A good boss is the six year old that cares for the two year old and the infant who cries out in need. A good boss, is the teenager that rebels against his or her family collective and the 28 year old who gives up knowing everything and begins to learn something. A good boss is everywhere as threads of the eternal ocean articulating itself in infinite ways; a multiplicity of faces, qualities, perspectives and capacity for perspective taking. The embodiment of the first person perspective is a good boss as is an embodiment of the 7th person perspective. The good Boss is the whole thing, the entire fullness, across its whole spectrum; a simultaneous impregnation of the One through the Many; a simultaneous expression of a unity as a multiplicity as a unity.","['identifies with every employee as an expression and outpouring of the One', 'He or she can slide into multiple perspectives and qualities of being and stage perspectives simultaneously', 'while at the same time identify with something beyond these perspectives and qualities', 'A good boss is moved and', 'constituted by the Source Actions', 'are initiated by', 'a following forth of a fullness', 'emerging from a Wholeness', 'moving through the boss and', 'forming the boss about the complex dynamics', 'Knowings come straight from the causal whole about', 'how to move and', 'that arise within group life', 'The call is', 'the natural resting into the ever present Ocean of Delight', 'The response is the causal sacred heart', 'that exists through the outside to the inside and vice versa', 'interpenetrating with and', 'illuminating the actions of the individual in the form of a boss But', 'to stop here', 'portrays an image of unity as a veil separate from the unity within division', 'A good boss is an uprightness', 'that is expressed through every stage of development through multiple faces as', 'the causal wholeness moves through and forms the multiple layers of the collective concrete subtle causal and beyond A good boss', 'could never be an expression of one perspective even a huge perspective even a unity perspective', 'To do', 'that renders the unity perspective incomplete and divided', 'A good boss is the stone', 'that emanates antiquity and profound spaciousness', 'A good boss is the tree', 'that grows towards the sun', 'A good boss is the squirrel', 'that remains', 'forever committed to the qualities of squirrel', 'A good boss is the six year old', 'that cares for the two year old and the infant', 'who cries out in need', 'A good boss is the teenager that rebels against his or her family collective and the 28 year old', 'who gives up knowing everything and', 'begins to learn something', 'A good boss is everywhere', 'articulating itself in infinite ways', 'a multiplicity of faces qualities perspectives and capacity for perspective', 'taking The embodiment of the first person perspective', 'as threads of the eternal ocean is a good boss', 'as is an embodiment of the 7th person perspective', 'The good Boss is the whole thing the entire fullness across its whole spectrum a simultaneous impregnation of the One through the Many a simultaneous expression of a unity as a multiplicity as a unity']","['A_def', 'P_bevb_x', 'A_def', 'A_def', 'P_bevb_x', 'A_def', 'P_bevb_x', 'A_def', 'A_def', 'A_def', 'A_def', 'A_def', 'A_def', 'A_def', 'P_bevb_x', 'A_def', 'P_bevb_x', 'A_def', 'A_def', 'A_def', 'A_def', 'A_def', 'P_bevb_x', 'P_bevb_x', 'A_def', 'P_bevb_x', 'P_bevb_x', 'A_def', 'A_def', 'P_bevb_x', 'A_def', 'P_bevb_x', 'A_def', 'P_bevb_x', 'A_def', 'P_get_x', 'P_bevb_x', 'A_def', 'A_def', 'A_pron_x', 'A_def', 'A_def', 'A_def', 'A_def', 'P_bevb_x', 'A_def', 'A_def', 'A_def', 'P_bevb_x', 'P_bevb_x', 'A_pron_x']",167,"[0.56, 1.0, 1.0, 0.56, 1.0, 0.56, 0.56, 0.56, 0.56, 1.0, 1.0, 0.56, 0.56, 1.0, 1.0, 1.0, 1.0, 0.56, 1.0, 0.56, 0.56, 0.56, 1.0, 1.0, 1.0, 0.0, 1.0, 0.56, 1.0, 0.56, 0.56, 0.56, 0.56, 1.0, 0.56, 1.0, 1.0, 1.0, 0.56, 0.56, 0.56, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.22, 0.28, 0.19, 0.01, 0.21, 0.26, 0.14, 0.13, 0.06, 0.16, 0.05, 0.01, 0.06, 0.01, 0.18, 0.09, 0.12, 0.42, 0.21, 0.01, 0.2, 0.1, 0.18, 0.17, 0.2, 0.0, 0.27, 0.01, 0.31, 0.01, 0.06, 0.06, 0.13, 0.27, 0.02, 0.05, 0.01, 0.12, 0.14, 0.13, 0.11, 0.36, 0.35, 0.24, 0.05, 0.19, 0.21]","[0.28, 0.36, 0.25, 0.04, 0.23, 0.27, 0.17, 0.15, 0.08, 0.19, 0.09, 0.02, 0.08, 0.02, 0.22, 0.12, 0.17, 0.43, 0.27, 0.02, 0.27, 0.12, 0.24, 0.27, 0.28, 0.01, 0.31, 0.04, 0.33, 0.04, 0.08, 0.08, 0.13, 0.3, 0.06, 0.1, 0.03, 0.21, 0.17, 0.15, 0.13, 0.38, 0.4, 0.28, 0.1, 0.23, 0.29]"
The past,"doesn\&#039;t exist but as a living motion arising in the present. 14 billion years of fullness are nested within eternity and in this single moment in space we can prehend our shared concrete, subtle and causal heritage. All of existence on every level, all experiences of all time, and every quality of the One arrives here in every moment to constitute us. The One constituting us as multitudes; as collective; as concrete, subtle, and causal systems building itself through itself as one precious, single moment.","['doesn t exist but', 'arising in the present 14 billion years of fullness', 'as a living motion are nested within eternity and', 'in this single moment in space we can prehend our shared concrete subtle and causal heritage All of existence on every level all experiences of all time and', 'every quality of the One arrives here in every moment', 'to constitute us The One', 'constituting us as multitudes as collective as', 'concrete subtle and causal systems building itself through itself as one precious single moment']","['P_bevb_x', 'A_def', 'P_bevb_x', 'A_pron_x', 'A_def', 'A_def', 'A_def', 'A_def', 'A_def']",168,"[0.56, 0.88, 0.56, 1.0, 0.56, 1.0, 1.0, 1.0]","[0.07, 0.11, 0.19, 0.2, 0.18, 0.11, 0.27, 0.2]","[0.09, 0.15, 0.23, 0.34, 0.22, 0.13, 0.3, 0.27]"
Privacy,"exists at the subtle and concrete levels as a necessary means to protect and reify separation. But from another view, there is no such thing as privacy. Feeling into our shared body, heart, soul, mind, and spirit, through the multiplicity of forms is effortless and immediately available. Feeling into \&#039;another\&#039;s\&#039; world is the same as feeling into \&#039;one\&#039;s own\&#039; world, because they are the same collective world. There is only one mind that we live through, only one spirit, only one emotional landscape. And it belongs to all of us, although some are blind to it, while some of us step into the collective treasury. In this wide heart, the entire kosmos is within us and we are within it simultaneously. Every form is a doorway into a collective concrete, subtle and causal Ocean where notions of privacy become mute.","['exists at the subtle and concrete levels as a necessary means But', 'to protect and', 'reify separation', 'from another view there is no such thing', 'privacy Feeling into our shared body heart soul mind and spirit through the multiplicity of forms', 'as is effortless and immediately available', 'Feeling into another s world', 'is the same as', 'feeling into one s own world', 'because they are the same collective world', 'There is only one mind', 'we live that through only one spirit only one emotional landscape', 'And it belongs to all of us', 'although some are blind to it', 'while some of us step into the collective treasury In this wide heart', 'the entire kosmos is within us and', 'we are within it simultaneously', 'Every form is a doorway into a collective concrete subtle and causal Ocean', 'where notions of privacy become mute']","['A_def', 'A_def', 'A_def', 'P_bevb_x', 'A_pron_x', 'A_def', 'P_bevb_x', 'A_def', 'P_bevb_x', 'A_pron_x', 'P_bevb_x', 'P_bevb_x', 'A_def', 'A_def', 'P_bevb_x', 'A_def', 'P_bevb_x', 'P_bevb_x', 'P_bevb_x', 'P_get_x']",169,"[1.0, 1.0, 0.56, 1.0, 1.0, 0.56, 0.56, 0.56, 0.56, 1.0, 0.56, 1.0, 0.56, 0.56, 1.0, 0.56, 0.56, 1.0, 1.0]","[0.16, 0.09, 0.38, 0.08, 0.19, 0.31, 0.21, 0.01, 0.1, 0.13, 0.06, 0.17, 0.05, 0.06, 0.11, 0.13, 0.31, 0.17, 0.18]","[0.22, 0.1, 0.38, 0.12, 0.26, 0.33, 0.23, 0.02, 0.12, 0.16, 0.08, 0.22, 0.09, 0.08, 0.18, 0.16, 0.33, 0.23, 0.21]"
My main problem is,"I do not have a main problem. Problems come with a need to derive meaning and solve the experience of separation. This has ceased. Meaning is generated by the whole collective on all levels of concrete, subtle, causal epistemologies. Although I can slide into any epistemology directly, the place within which my singular \&quot;I\&quot; rests, and is merged with is beyond the need to make meaning and hence, there are no problems. Any issue wanting completion, fruition, exploration, arises in the moment as the Causal Whole constitutes itself through the concrete, subtle, and causal bodies. Here the collective layers move through a particular and bring an invitation to embrace the whole through the extension of the whole through a \&#039;me\&#039;.","['I do not have a main problem', 'Problems come with a need', 'to derive meaning and', 'solve the experience of separation', 'This has ceased Meaning', 'is generated by the whole collective on all levels of concrete subtle causal epistemologies', 'Although I can slide into any epistemology directly the place', 'within which my singular I rests and', 'is merged with', 'is beyond the need and', 'to make meaning', 'hence there are no problems', 'completion fruition exploration arises in the moment', 'as the Causal Whole constitutes itself through the concrete subtle and causal bodies', 'Here the collective layers move through a particular and', 'bring an invitation', 'to embrace the whole through the extension of the whole through a me']","['P_bevb_x', 'A_def', 'A_def', 'A_def', 'P_bevb_x', 'P_bevb_x', 'P_bevb_x', 'A_pron_x', 'P_bevb_x', 'P_bevb_x', 'A_def', 'P_bevb_x', 'A_def', 'A_def', 'A_def', 'A_def', 'A_def']",170,"[0.88, 1.0, 0.56, 1.0, 1.0, 1.0, 1.0, 1.0, 0.56, 0.56, 0.56, 1.0, 1.0, 1.0, 1.0, 0.56, 1.0]","[0.05, 0.06, 0.13, 0.31, 0.07, 0.24, 0.23, 0.13, 0.01, 0.06, 0.09, 0.06, 0.23, 0.15, 0.19, 0.26, 0.09]","[0.09, 0.08, 0.15, 0.33, 0.09, 0.3, 0.27, 0.16, 0.02, 0.08, 0.1, 0.08, 0.26, 0.21, 0.23, 0.27, 0.16]"
