UID,prompt_number,prompt_id,clause_num,num_clauses,num_words,respScore,PassAct,clauses_text_final,prompt,response,voice,ClauseCutOK?,AP_OK?,AP_rule,Comments
02833.015.01,,,1,,,3.5,,is both and valid and useful right and,,,P_bevb_x,,,,
02833.015.02,,,2,,,3.5,,also holding back the progress of our world,,,A_pron_x,,,,
03137.020.00,20,44,0,1,13,3.5,a,['can have shared values for the good of the whole'],Business and society,are interrelated but can have shared values for the good of the whole,['P_bevb_x'],,,,
03137.020.01,,,1,,,3.5,,can have shared values for the good of the whole,,,P_bevb_x,,,,
03353.035.00,35,35,0,4,27,3.5,a,"['I have done wrong to someone', 'unjustly Did not happen that often but', 'sometimes I over reacted on prejudice and', 'may have been harsh on some people']",My conscience bothers me if,I have done wrong to someone unjustly. Did not happen that often but sometimes I over reacted on prejudice and may have been harsh on some people.  ,"['P_bevb_x', 'P_bevb_x', 'A_def', 'P_bevb_x']",,,,
03353.035.01,,,1,,,3.5,,I have done wrong to someone,,,P_bevb_x,,,,
03353.035.02,,,2,,,3.5,,unjustly Did not happen that often but,,,P_bevb_x,,,,
03353.035.03,,,3,,,3.5,,sometimes I over reacted on prejudice and,,,A_def,,,,
03353.035.04,,,4,,,3.5,,may have been harsh on some people,,,P_bevb_x,,,,
02359.003.00,3,3,0,2,5,3.5,a,"['Reflecting and', 'improving your practice']",Change is,Reflecting and improving your practice.,"['A_def', 'A_pron_x']",,,,
02359.003.01,,,1,,,3.5,,Reflecting and,,,A_def,,,,
02359.003.02,,,2,,,3.5,,improving your practice,,,A_pron_x,,,,
03423.007.00,7,38,0,4,24,3.5,a,"['not have much contact As an adjunct in the department', 'I am on the periphery', 'plus I work remotely so', 'am not co located']",My co-workers and I,"do not have much contact. As an adjunct in the department I am on the periphery, plus I work remotely, so am not co-located.  ","['P_bevb_x', 'P_bevb_x', 'A_def', 'P_bevb_x']",,,,
03423.007.01,,,1,,,3.5,,not have much contact As an adjunct in the department,,,P_bevb_x,,,,
03423.007.02,,,2,,,3.5,,I am on the periphery,,,P_bevb_x,,,,
03423.007.03,,,3,,,3.5,,plus I work remotely so,,,A_def,,,,
03423.007.04,,,4,,,3.5,,am not co located,,,P_bevb_x,,,,
02155.033.00,33,33,0,1,4,3.5,a,['I typically do better'],When I am nervous,I typically do better.,['P_bevb_x'],,,,
02155.033.01,,,1,,,3.5,,I typically do better,,,P_bevb_x,,,,
02845.017.00,17,17,0,2,11,3.5,a,"['I watched my embodied response', 'And they kept on their way']",When they avoided me,I watched my embodied response. And they kept on their way.,"['A_pron_x', 'A_pron_x']",,,,
02845.017.01,,,1,,,3.5,,I watched my embodied response,,,A_pron_x,,,,
02845.017.02,,,2,,,3.5,,And they kept on their way,,,A_pron_x,,,,
02150.021.00,21,21,0,3,19,3.5,a,"['all the time these days', 'constantly interrupt others to bring the conversation back to them', 'Good listening is rare']",I just can't stand people who,constantly interrupt others to bring the conversation back to them all the time. Good listening is rare these days......,"['Undefined', 'A_def', 'P_bevb_x']",,,,
02150.021.01,,,1,,,3.5,,all the time these days,,,Undefined,,,,
02150.021.02,,,2,,,3.5,,constantly interrupt others to bring the conversation back to them,,,A_def,,,,
02150.021.03,,,3,,,3.5,,Good listening is rare,,,P_bevb_x,,,,
01806.019.00,19,19,0,1,8,3.5,a,['If we defined no crime and no delinquency'],Crime and delinquency could be halted if,If we defined no crime and no delinquency.,['A_def'],,,,
01806.019.01,,,1,,,3.5,,If we defined no crime and no delinquency,,,A_def,,,,
02795.035.00,35,35,0,3,12,3.5,a,"['I harm someone or', 'if I am afraid', 'I have harmed someone']",My conscience bothers me if,I harm someone or if I am afraid I have harmed someone.,"['A_def', 'P_bevb_x', 'P_bevb_x']",,,,
02795.035.01,,,1,,,3.5,,I harm someone or,,,A_def,,,,
02795.035.02,,,2,,,3.5,,if I am afraid,,,P_bevb_x,,,,
02795.035.03,,,3,,,3.5,,I have harmed someone,,,P_bevb_x,,,,
02035.003.00,3,3,0,5,23,4.0,p,"['good Sometime', 'it may not seem like it at the time', 'when is happening but', 'looking back', 'after you can see it differently']",Change is,good. Sometime it may not seem like it at the time when is happening but looking back after you can see it differently.,"['Undefined', 'P_bevb_x', 'P_bevb_x', 'A_def', 'P_bevb_x']",,,,
02035.003.01,,,1,,,4.0,,good Sometime,,,Undefined,,,,
02035.003.02,,,2,,,4.0,,it may not seem like it at the time,,,P_bevb_x,,,,
02035.003.03,,,3,,,4.0,,when is happening but,,,P_bevb_x,,,,
02035.003.04,,,4,,,4.0,,looking back,,,A_def,,,,
02035.003.05,,,5,,,4.0,,after you can see it differently,,,P_bevb_x,,,,
02431.005.00,5,85,0,4,15,4.0,p,"['is', 'what makes', 'life real and meaningful Community through love is', 'where reality is created']",Loving other people,is what makes life real and meaningful. Community through love is where reality is created.,"['P_bevb_x', 'A_def', 'P_bevb_x', 'P_bevb_x']",,,,
02431.005.01,,,1,,,4.0,,is,,,P_bevb_x,,,,
02431.005.02,,,2,,,4.0,,what makes,,,A_def,,,,
02431.005.03,,,3,,,4.0,,life real and meaningful Community through love is,,,P_bevb_x,,,,
02431.005.04,,,4,,,4.0,,where reality is created,,,P_bevb_x,,,,
01754.009.00,9,9,0,2,10,4.0,p,"['is a lifelong joy and', 'is necessary for continued growth']",Education,is a lifelong joy and is necessary for continued growth.,"['P_bevb_x', 'P_bevb_x']",,,,
01754.009.01,,,1,,,4.0,,is a lifelong joy and,,,P_bevb_x,,,,
01754.009.02,,,2,,,4.0,,is necessary for continued growth,,,P_bevb_x,,,,
02661.023.00,23,23,0,2,5,4.0,p,"['a multifaceted and individual', 'ever changing']",I am,a multifaceted and ever-changing individual.,"['Undefined', 'A_def']",,,,
02661.023.01,,,1,,,4.0,,a multifaceted and individual,,,Undefined,,,,
02661.023.02,,,2,,,4.0,,ever changing,,,A_def,,,,
03339.023.00,23,23,0,3,23,4.0,p,"['hungry and excited to make a fresh and hot pumpkin soup', 'which was drawn into this awareness', 'I call mine by someone yesterday']",I am,hungry and excited to make a fresh and hot pumpkin soup which was drawn into this awareness I call mine by someone yesterday.,"['A_def', 'P_bevb_x', 'A_def']",,,,
03339.023.01,,,1,,,4.0,,hungry and excited to make a fresh and hot pumpkin soup,,,A_def,,,,
03339.023.02,,,2,,,4.0,,which was drawn into this awareness,,,P_bevb_x,,,,
03339.023.03,,,3,,,4.0,,I call mine by someone yesterday,,,A_def,,,,
01688.018.00,18,42,0,1,9,4.0,p,['are important to understand and sometimes important to break'],Rules,are important to understand and sometimes important to break.,['P_bevb_x'],,,,
01688.018.01,,,1,,,4.0,,are important to understand and sometimes important to break,,,P_bevb_x,,,,
01884.014.00,14,14,0,4,23,4.0,p,"['might be considered a richly textured tapestry', 'to be looked at and', 'honored remembered forgotten', 'learned from in different ways at different times']",The past,"might be considered a richly textured tapestry to be looked at, honored, remembered, forgotten, and learned from in different ways at different times.","['P_bevb_x', 'P_bevb_x', 'A_def', 'A_def']",,,,
01884.014.01,,,1,,,4.0,,might be considered a richly textured tapestry,,,P_bevb_x,,,,
01884.014.02,,,2,,,4.0,,to be looked at and,,,P_bevb_x,,,,
01884.014.03,,,3,,,4.0,,honored remembered forgotten,,,A_def,,,,
01884.014.04,,,4,,,4.0,,learned from in different ways at different times,,,A_def,,,,
01876.032.00,32,32,0,3,9,4.0,p,"['I let go and', 'be with', 'what is unfolding']",If I can't get what I want,I let go and be with what is unfolding.,"['A_def', 'P_bevb_x', 'P_bevb_x']",,,,
01876.032.01,,,1,,,4.0,,I let go and,,,A_def,,,,
01876.032.02,,,2,,,4.0,,be with,,,P_bevb_x,,,,
01876.032.03,,,3,,,4.0,,what is unfolding,,,P_bevb_x,,,,
02883.015.00,15,41,0,2,15,4.0,p,"['is respecting the benefits of', 'having quiet reflective times away from sometimes overwhelming social interactions']",Privacy,"is respecting the benefits of having quiet, reflective times, away from sometimes overwhelming social interactions.","['P_bevb_x', 'P_bevb_x']",,,,
02883.015.01,,,1,,,4.0,,is respecting the benefits of,,,P_bevb_x,,,,
02883.015.02,,,2,,,4.0,,having quiet reflective times away from sometimes overwhelming social interactions,,,P_bevb_x,,,,
03402.011.00,11,39,0,8,37,4.0,p,"['To be in the outdoors and', 'To be in the outdoors and', 'to be active', 'My favourite days are skiiing or hiking', 'when you feel at one with nature', 'that you have earned your dinner and', 'sleep well', 'because you are physically tired']",What I like to do best is,"To be in the outdoors and to be active.  My favourite days are skiiing or hiking when you feel at one with nature, that you have earned your dinner and sleep well because you are physically tired.  ","['P_bevb_x', 'P_bevb_x', 'P_bevb_x', 'A_pron_x', 'P_get_x', 'A_pron_x', 'A_def', 'P_bevb_x']",,,,
03402.011.01,,,1,,,4.0,,To be in the outdoors and,,,P_bevb_x,,,,
03402.011.02,,,2,,,4.0,,To be in the outdoors and,,,P_bevb_x,,,,
03402.011.03,,,3,,,4.0,,to be active,,,P_bevb_x,,,,
03402.011.04,,,4,,,4.0,,My favourite days are skiiing or hiking,,,A_pron_x,,,,
03402.011.05,,,5,,,4.0,,when you feel at one with nature,,,P_get_x,,,,
03402.011.06,,,6,,,4.0,,that you have earned your dinner and,,,A_pron_x,,,,
03402.011.07,,,7,,,4.0,,sleep well,,,A_def,,,,
03402.011.08,,,8,,,4.0,,because you are physically tired,,,P_bevb_x,,,,
02854.033.00,33,33,0,3,16,4.0,p,"['My biology unconsciously and', 'consciously overwhelms all other parts of me', 'got ta love being a human']",When I am nervous,"My biology unconsciously and consciously overwhelms all other parts of me, gotta love being a human!","['Undefined', 'A_def', 'P_bevb_x']",,,,
02854.033.01,,,1,,,4.0,,My biology unconsciously and,,,Undefined,,,,
02854.033.02,,,2,,,4.0,,consciously overwhelms all other parts of me,,,A_def,,,,
02854.033.03,,,3,,,4.0,,got ta love being a human,,,P_bevb_x,,,,
01890.034.00,34,47,0,7,32,4.0,p,"['Is both', 'removed from', 'what is fundamental and essential to', 'finding it', 'It seems to be a device', 'that is neither good or bad and', 'yet reflects the users predilections and proclivities']",Technology,Is both removed from what is fundamental and essential to finding it. It seems to be a device that is neither good or bad and yet reflects the users predilections and proclivities.,"['P_bevb_x', 'A_def', 'P_bevb_x', 'A_def', 'P_bevb_x', 'P_bevb_x', 'A_def']",,,,
01890.034.01,,,1,,,4.0,,Is both,,,P_bevb_x,,,,
01890.034.02,,,2,,,4.0,,removed from,,,A_def,,,,
01890.034.03,,,3,,,4.0,,what is fundamental and essential to,,,P_bevb_x,,,,
01890.034.04,,,4,,,4.0,,finding it,,,A_def,,,,
01890.034.05,,,5,,,4.0,,It seems to be a device,,,P_bevb_x,,,,
01890.034.06,,,6,,,4.0,,that is neither good or bad and,,,P_bevb_x,,,,
01890.034.07,,,7,,,4.0,,yet reflects the users predilections and proclivities,,,A_def,,,,
01761.023.00,23,23,0,2,7,4.0,p,"['not sure', 'who I am right now']",I am,not sure who I am right now.,"['Undefined', 'P_bevb_x']",,,,
01761.023.01,,,1,,,4.0,,not sure,,,Undefined,,,,
01761.023.02,,,2,,,4.0,,who I am right now,,,P_bevb_x,,,,
02407.012.00,12,12,0,5,27,4.0,p,"['will not just praise but', 'when things are good', 'encourage us', 'when things are rough', 'A good boss does not see herself as above but equal to']",A good boss,"will not just praise when things are good, but encourage us when things are rough. A good boss does not see herself as above, but equal to.","['P_bevb_x', 'P_bevb_x', 'A_def', 'P_bevb_x', 'P_bevb_x']",,,,
02407.012.01,,,1,,,4.0,,will not just praise but,,,P_bevb_x,,,,
02407.012.02,,,2,,,4.0,,when things are good,,,P_bevb_x,,,,
02407.012.03,,,3,,,4.0,,encourage us,,,A_def,,,,
02407.012.04,,,4,,,4.0,,when things are rough,,,P_bevb_x,,,,
02407.012.05,,,5,,,4.0,,A good boss does not see herself as above but equal to,,,P_bevb_x,,,,
01728.029.00,29,29,0,7,37,4.0,p,"['was alive today', 'I d sit on a bench at our favourite beach and', 'ask her', 'her life really felt what like to her', 'I d ask her about motherhood', 'And I d tell her', 'how much I love her']",If my mother,"was alive today, I'd sit on a bench at our favourite beach and ask her what her life really felt like to her. I'd ask her about motherhood. And I'd tell her how much I love her","['P_bevb_x', 'A_pron_x', 'A_def', 'A_pron_x', 'A_def', 'A_def', 'A_def']",,,,
01728.029.01,,,1,,,4.0,,was alive today,,,P_bevb_x,,,,
01728.029.02,,,2,,,4.0,,I d sit on a bench at our favourite beach and,,,A_pron_x,,,,
01728.029.03,,,3,,,4.0,,ask her,,,A_def,,,,
01728.029.04,,,4,,,4.0,,her life really felt what like to her,,,A_pron_x,,,,
01728.029.05,,,5,,,4.0,,I d ask her about motherhood,,,A_def,,,,
01728.029.06,,,6,,,4.0,,And I d tell her,,,A_def,,,,
01728.029.07,,,7,,,4.0,,how much I love her,,,A_def,,,,
02044.009.00,9,9,0,4,31,4.0,p,"['is important to have', 'if someone wants to be middle class these days', 'but it doesn t guarantee it', 'The education system is too narrow and expensive however degree s matter these days']",Education,"is important to have if someone wants to be middle class these days, but it doesn't guarantee it. The education system is too narrow and expensive, however degree's matter these days.","['P_bevb_x', 'P_bevb_x', 'P_bevb_x', 'P_bevb_x']",,,,
02044.009.01,,,1,,,4.0,,is important to have,,,P_bevb_x,,,,
02044.009.02,,,2,,,4.0,,if someone wants to be middle class these days,,,P_bevb_x,,,,
02044.009.03,,,3,,,4.0,,but it doesn t guarantee it,,,P_bevb_x,,,,
02044.009.04,,,4,,,4.0,,The education system is too narrow and expensive however degree s matter these days,,,P_bevb_x,,,,
02319.031.00,31,31,0,5,24,4.0,p,"['Was a great guy', 'who tought me how to love big and', 'when thinking back', 'still makes', 'me get a smile on my face']",My father,Was a great guy who tought me how to love big and when thinking back still makes me get a smile on my face,"['P_bevb_x', 'A_def', 'A_def', 'A_def', 'A_pron_x']",,,,
02319.031.01,,,1,,,4.0,,Was a great guy,,,P_bevb_x,,,,
02319.031.02,,,2,,,4.0,,who tought me how to love big and,,,A_def,,,,
02319.031.03,,,3,,,4.0,,when thinking back,,,A_def,,,,
02319.031.04,,,4,,,4.0,,still makes,,,A_def,,,,
02319.031.05,,,5,,,4.0,,me get a smile on my face,,,A_pron_x,,,,
02856.009.00,9,9,0,3,12,4.0,p,"['is one way', 'to develop skills knowledge and growth experience', 'is another']",Education,"is one way to develop skills, knowledge and growth.  experience is another.","['P_bevb_x', 'A_def', 'P_bevb_x']",,,,
02856.009.01,,,1,,,4.0,,is one way,,,P_bevb_x,,,,
02856.009.02,,,2,,,4.0,,to develop skills knowledge and growth experience,,,A_def,,,,
02856.009.03,,,3,,,4.0,,is another,,,P_bevb_x,,,,
02794.001.00,1,1,0,5,26,4.0,p,"['is the most incredible adventure', 'I ve been on It', 'has expanded me beyond anything and', 'I d have imagined possible', 'it gives me continuous opportunities for growth']",Raising a family,is the most incredible adventure I've been on. It has expanded me beyond anything I'd have imagined possible and it gives me continuous opportunities for growth. ,"['P_bevb_x', 'P_bevb_x', 'P_bevb_x', 'P_bevb_x', 'A_def']",,,,
02794.001.01,,,1,,,4.0,,is the most incredible adventure,,,P_bevb_x,,,,
02794.001.02,,,2,,,4.0,,I ve been on It,,,P_bevb_x,,,,
02794.001.03,,,3,,,4.0,,has expanded me beyond anything and,,,P_bevb_x,,,,
02794.001.04,,,4,,,4.0,,I d have imagined possible,,,P_bevb_x,,,,
02794.001.05,,,5,,,4.0,,it gives me continuous opportunities for growth,,,A_def,,,,
02169.025.00,25,25,0,2,6,4.0,p,"['Not being content and', 'enjoying now']",My main problem is,"Not being content, and enjoying now.  ","['P_bevb_x', 'A_def']",,,,
02169.025.01,,,1,,,4.0,,Not being content and,,,P_bevb_x,,,,
02169.025.02,,,2,,,4.0,,enjoying now,,,A_def,,,,
02609.035.00,35,35,0,6,29,4.5,a,"['I know', 'I have said something or', 'done something', 'I should not have', 'and I look for ways', 'to justify my comment or action to placate my sub conscience']",My conscience bothers me if,I know I have said something or done something I should not have and I look for ways to justify my comment or action to placate my sub conscience,"['A_def', 'P_bevb_x', 'A_def', 'P_bevb_x', 'A_def', 'A_pron_x']",,,,
02609.035.01,,,1,,,4.5,,I know,,,A_def,,,,
02609.035.02,,,2,,,4.5,,I have said something or,,,P_bevb_x,,,,
02609.035.03,,,3,,,4.5,,done something,,,A_def,,,,
02609.035.04,,,4,,,4.5,,I should not have,,,P_bevb_x,,,,
02609.035.05,,,5,,,4.5,,and I look for ways,,,A_def,,,,
02609.035.06,,,6,,,4.5,,to justify my comment or action to placate my sub conscience,,,A_pron_x,,,,
03239.017.00,17,17,0,7,37,4.5,a,"['I observed', 'that I was being avoided and', 'noted to follow up and', 'try to understand', 'why My first emotional reaction is to be sad but', 'logically I know', 'they could be avoiding me for many reasons']",When they avoided me,"I observed that I was being avoided, and noted to follow up and try to understand why. My first emotional reaction is to be sad but logically I know they could be avoiding me for many reasons.","['A_def', 'P_bevb_x', 'A_def', 'A_def', 'A_pron_x', 'A_def', 'P_bevb_x']",,,,
03239.017.01,,,1,,,4.5,,I observed,,,A_def,,,,
03239.017.02,,,2,,,4.5,,that I was being avoided and,,,P_bevb_x,,,,
03239.017.03,,,3,,,4.5,,noted to follow up and,,,A_def,,,,
03239.017.04,,,4,,,4.5,,try to understand,,,A_def,,,,
03239.017.05,,,5,,,4.5,,why My first emotional reaction is to be sad but,,,A_pron_x,,,,
03239.017.06,,,6,,,4.5,,logically I know,,,A_def,,,,
03239.017.07,,,7,,,4.5,,they could be avoiding me for many reasons,,,P_bevb_x,,,,
03379.036.00,36,48,0,3,15,4.5,a,"['making the world better', 'would be easier and evolutionary development', 'go faster Its a dream']",Sometimes I wish that,making the world better would be easier and evolutionary development go faster. Its a dream....,"['A_def', 'P_bevb_x', 'A_pron_x']",,,,
03379.036.01,,,1,,,4.5,,making the world better,,,A_def,,,,
03379.036.02,,,2,,,4.5,,would be easier and evolutionary development,,,P_bevb_x,,,,
03379.036.03,,,3,,,4.5,,go faster Its a dream,,,A_pron_x,,,,
02283.023.00,23,23,0,5,22,4.5,a,"['a human being', 'who is consciously allowing', 'life to unfold within me', 'I love to make meaning and', 'feel the evolving wave']",I am,a human being who is consciously allowing life to unfold within me. I love to make meaning and feel the evolving wave. ,"['Undefined', 'P_bevb_x', 'A_def', 'A_def', 'A_def']",,,,
02283.023.01,,,1,,,4.5,,a human being,,,Undefined,,,,
02283.023.02,,,2,,,4.5,,who is consciously allowing,,,P_bevb_x,,,,
02283.023.03,,,3,,,4.5,,life to unfold within me,,,A_def,,,,
02283.023.04,,,4,,,4.5,,I love to make meaning and,,,A_def,,,,
02283.023.05,,,5,,,4.5,,feel the evolving wave,,,A_def,,,,
02903.004.00,4,68,0,6,26,4.5,a,"['moving to more sustainable use of resources and population growth and', 'moving to more sustainable use of resources and population growth and', 'changing economic models', 'to reverse the increasing social divide', 'reduce poverty and', 'improve population wellbeing']",These days progress means,"moving to more sustainable use of resources and population growth and changing economic models to reverse the increasing social divide, reduce poverty and improve population wellbeing.","['A_def', 'A_def', 'A_def', 'A_def', 'A_def', 'A_def']",,,,
02903.004.01,,,1,,,4.5,,moving to more sustainable use of resources and population growth and,,,A_def,,,,
02903.004.02,,,2,,,4.5,,moving to more sustainable use of resources and population growth and,,,A_def,,,,
02903.004.03,,,3,,,4.5,,changing economic models,,,A_def,,,,
02903.004.04,,,4,,,4.5,,to reverse the increasing social divide,,,A_def,,,,
02903.004.05,,,5,,,4.5,,reduce poverty and,,,A_def,,,,
02903.004.06,,,6,,,4.5,,improve population wellbeing,,,A_def,,,,
02386.019.00,19,19,0,7,30,4.5,a,"['I don t have a solution', 'but I think', 'it has to do with', 'creating good environments', 'for kids to grow up and', 'which is complex', 'involves a lot of aspects']",Crime and delinquency could be halted if,"I don't have a solution, but I think it has to do with creating good environments for kids to grow up, which is complex and involves a lot of aspects.","['P_bevb_x', 'A_def', 'P_bevb_x', 'A_def', 'A_def', 'P_bevb_x', 'A_def']",,,,
02386.019.01,,,1,,,4.5,,I don t have a solution,,,P_bevb_x,,,,
02386.019.02,,,2,,,4.5,,but I think,,,A_def,,,,
02386.019.03,,,3,,,4.5,,it has to do with,,,P_bevb_x,,,,
02386.019.04,,,4,,,4.5,,creating good environments,,,A_def,,,,
02386.019.05,,,5,,,4.5,,for kids to grow up and,,,A_def,,,,
02386.019.06,,,6,,,4.5,,which is complex,,,P_bevb_x,,,,
02386.019.07,,,7,,,4.5,,involves a lot of aspects,,,A_def,,,,
02292.007.00,7,38,0,1,12,4.5,a,['established mutual respect and a two way flow of information and ideas'],My co-workers and I,have established mutual respect and a two-way flow of information and ideas.,['A_def'],,,,
02292.007.01,,,1,,,4.5,,established mutual respect and a two way flow of information and ideas,,,A_def,,,,
03425.022.00,22,43,0,2,6,4.5,a,"['not seeing and', 'embodying the truth']",At times I worry about,not seeing and embodying the truth. ,"['A_def', 'A_def']",,,,
03425.022.01,,,1,,,4.5,,not seeing and,,,A_def,,,,
03425.022.02,,,2,,,4.5,,embodying the truth,,,A_def,,,,
01577.012.00,12,12,0,4,25,4.5,a,"['helps his her subordinates to do their best', 'knows how to orchestrate the contributions of different members of the team and', 'is decisive without', 'being rigid']",A good boss,"helps his-her subordinates to do their best, knows how to orchestrate the contributions of different members of the team, and is decisive without being rigid","['A_pron_x', 'A_def', 'P_bevb_x', 'P_bevb_x']",,,,
01577.012.01,,,1,,,4.5,,helps his her subordinates to do their best,,,A_pron_x,,,,
01577.012.02,,,2,,,4.5,,knows how to orchestrate the contributions of different members of the team and,,,A_def,,,,
01577.012.03,,,3,,,4.5,,is decisive without,,,P_bevb_x,,,,
01577.012.04,,,4,,,4.5,,being rigid,,,P_bevb_x,,,,
02860.011.00,11,39,0,2,10,4.5,a,"['experience the flow of', 'creating unfolding learning teaching or being']",What I like to do best is,"experience the flow of creating, unfolding, learning, teaching, or being.","['A_def', 'P_bevb_x']",,,,
02860.011.01,,,1,,,4.5,,experience the flow of,,,A_def,,,,
02860.011.02,,,2,,,4.5,,creating unfolding learning teaching or being,,,P_bevb_x,,,,
03450.027.00,27,45,0,5,23,4.5,a,"['are doing so for a reason', 'I want to understand', 'what s going on Life', 'can get hard let', 's help each other through this']",People who step out of line,"are doing so for a reason. I want to understand what's going on. Life can get hard, let's help each other through this.","['P_bevb_x', 'A_def', 'A_def', 'P_bevb_x', 'A_def']",,,,
03450.027.01,,,1,,,4.5,,are doing so for a reason,,,P_bevb_x,,,,
03450.027.02,,,2,,,4.5,,I want to understand,,,A_def,,,,
03450.027.03,,,3,,,4.5,,what s going on Life,,,A_def,,,,
03450.027.04,,,4,,,4.5,,can get hard let,,,P_bevb_x,,,,
03450.027.05,,,5,,,4.5,,s help each other through this,,,A_def,,,,
03303.003.00,3,3,0,8,34,4.5,a,"['often quite hard for me', 'what is changing', 'if has been or', 'currently is important in my life', 'I am learning', 'that nothing is permanent and', 'therefore I am making efforts', 'to embrace change']",Change is,often quite hard for me if what is changing has been or currently is important in my life. I am learning that nothing is permanent and therefore I am making efforts to embrace change.,"['Undefined', 'P_bevb_x', 'P_bevb_x', 'A_pron_x', 'P_bevb_x', 'P_bevb_x', 'P_bevb_x', 'A_def']",,,,
03303.003.01,,,1,,,4.5,,often quite hard for me,,,Undefined,,,,
03303.003.02,,,2,,,4.5,,what is changing,,,P_bevb_x,,,,
03303.003.03,,,3,,,4.5,,if has been or,,,P_bevb_x,,,,
03303.003.04,,,4,,,4.5,,currently is important in my life,,,A_pron_x,,,,
03303.003.05,,,5,,,4.5,,I am learning,,,P_bevb_x,,,,
03303.003.06,,,6,,,4.5,,that nothing is permanent and,,,P_bevb_x,,,,
03303.003.07,,,7,,,4.5,,therefore I am making efforts,,,P_bevb_x,,,,
03303.003.08,,,8,,,4.5,,to embrace change,,,A_def,,,,
02686.011.00,11,39,0,2,8,4.5,a,"['find', 'myself deeply engaged in acts of expression']",What I like to do best is,find myself deeply engaged in acts of expression.,"['A_def', 'A_def']",,,,
02686.011.01,,,1,,,4.5,,find,,,A_def,,,,
02686.011.02,,,2,,,4.5,,myself deeply engaged in acts of expression,,,A_def,,,,
01894.006.00,6,6,0,6,33,4.5,a,"['above all else', 'I love to learn by', 'connecting deeply with life and others', 'I am open to the present and to', 'I am able whatever to mine from', 'what the future offers']",The thing I like about myself is,above all else I love to learn by connecting deeply with life and others. I am open to the present and to whatever I am able to mine from what the future offers.,"['Undefined', 'A_def', 'A_def', 'P_bevb_x', 'P_bevb_x', 'A_def']",,,,
01894.006.01,,,1,,,4.5,,above all else,,,Undefined,,,,
01894.006.02,,,2,,,4.5,,I love to learn by,,,A_def,,,,
01894.006.03,,,3,,,4.5,,connecting deeply with life and others,,,A_def,,,,
01894.006.04,,,4,,,4.5,,I am open to the present and to,,,P_bevb_x,,,,
01894.006.05,,,5,,,4.5,,I am able whatever to mine from,,,P_bevb_x,,,,
01894.006.06,,,6,,,4.5,,what the future offers,,,A_def,,,,
03106.018.00,18,42,0,2,17,4.5,a,"['their impact are different for different perspectives and places', 'from which we see']",Rules,", their necessity and their impact, are different for different perspectives and places from which we see.","['A_pron_x', 'A_def']",,,,
03106.018.01,,,1,,,4.5,,their impact are different for different perspectives and places,,,A_pron_x,,,,
03106.018.02,,,2,,,4.5,,from which we see,,,A_def,,,,
02056.019.00,19,19,0,1,7,4.5,a,['humankind could overcome its cancerous grasping mentality'],Crime and delinquency could be halted if,humankind could overcome its cancerous grasping mentality,['A_pron_x'],,,,
02056.019.01,,,1,,,4.5,,humankind could overcome its cancerous grasping mentality,,,A_pron_x,,,,
01725.012.00,12,12,0,5,20,4.5,a,"['creates an environment', 'in which you can succeed', 'then gets out of the way', 'so you can make', 'it happen']",A good boss,creates an environment in which you can succeed then gets out of the way so you can make it happen.,"['A_def', 'P_bevb_x', 'A_def', 'P_bevb_x', 'A_def']",,,,
01725.012.01,,,1,,,4.5,,creates an environment,,,A_def,,,,
01725.012.02,,,2,,,4.5,,in which you can succeed,,,P_bevb_x,,,,
01725.012.03,,,3,,,4.5,,then gets out of the way,,,A_def,,,,
01725.012.04,,,4,,,4.5,,so you can make,,,P_bevb_x,,,,
01725.012.05,,,5,,,4.5,,it happen,,,A_def,,,,
01890.026.00,26,26,0,3,20,4.5,a,"['I must be pretty powerful and overwhelming', 'I can also be powerful and overwhelming', 'when I express any emotional content']",When I get mad,I must be pretty powerful and overwhelming. I can also be powerful and overwhelming when I express any emotional content.,"['P_bevb_x', 'P_bevb_x', 'A_def']",,,,
01890.026.01,,,1,,,4.5,,I must be pretty powerful and overwhelming,,,P_bevb_x,,,,
01890.026.02,,,2,,,4.5,,I can also be powerful and overwhelming,,,P_bevb_x,,,,
01890.026.03,,,3,,,4.5,,when I express any emotional content,,,A_def,,,,
01953.016.00,16,16,0,4,19,4.5,a,"['for those', 'who are suffering', 'because they don t have sufficient perspective', 'to understand their situation from a higher perspective']",I feel sorry,for those who are suffering because they don't have sufficient perspective to understand their situation from a higher perspective.,"['Undefined', 'P_bevb_x', 'P_bevb_x', 'A_pron_x']",,,,
01953.016.01,,,1,,,4.5,,for those,,,Undefined,,,,
01953.016.02,,,2,,,4.5,,who are suffering,,,P_bevb_x,,,,
01953.016.03,,,3,,,4.5,,because they don t have sufficient perspective,,,P_bevb_x,,,,
01953.016.04,,,4,,,4.5,,to understand their situation from a higher perspective,,,A_pron_x,,,,
01885.019.00,19,19,0,3,12,4.5,a,"['We had the space for healing For', 'knowing ourselves For', 'evolving spiritually']",Crime and delinquency could be halted if,We had the space for healing. For knowing ourselves. For evolving spiritually.,"['A_def', 'A_def', 'A_def']",,,,
01885.019.01,,,1,,,4.5,,We had the space for healing For,,,A_def,,,,
01885.019.02,,,2,,,4.5,,knowing ourselves For,,,A_def,,,,
01885.019.03,,,3,,,4.5,,evolving spiritually,,,A_def,,,,
