response,clauses_text_final,final_score,final_voice
"triggers no response in me at the moment, albeit I am in the process of being-and-becoming a good boss and a good leader and a good follower, the one who serves the process of cultivating and raising Goodness and Truth and Beauty everywhere the hand of Midas touches the surface of the world.","['triggers no response in me at the moment', 'albeit I am in the process of', 'being and', 'becoming a good boss and a good leader and a good follower the one', 'who serves the process of everywhere', 'cultivating and', 'raising Goodness and Truth and Beauty', 'the hand of Midas touches the surface of the world']",0.32,A_def
"If we are happy for people when successful.  If we stand together to fight poverty and help needy family.  To send children to school who cannot afford. Create peace, tolerate  and respect religion, race, or class. Be tolerant!","['If we are happy for people when successful', 'If we stand together', 'to fight poverty and', 'help needy family To send children to school', 'who can not afford Create', 'peace tolerate and', 'respect religion race or class', 'Be tolerant']",0.21,A_def
I did not take fast action.,['I did not take fast action'],0.26,A_def
great!,['great'],0.03,Undefined
"If I had more money, I would travel more.","['If I had more money', 'I would travel more']",0.34,A_def
i bite my nails.,['i bite my nails'],0.21,A_pron_x
"To Train, give the direction and give support for the people or for those who are working or living with me what ever I can.","['To Train give the direction and', 'To Train give the direction and', 'give support for the people or for those', 'who are working or', 'living with me', 'what ever I can']",0.18,A_def
"I am adaptable and loving. I see people, nature, the Universe as a whole and I have inherited good values and I try to live by them","['I am adaptable and', 'I see', 'people nature the Universe as a whole', 'and I have inherited good values', 'and I try to live by them']",0.23,A_def
I am inspired to reach out and be of service.,"['I am inspired to reach out and', 'be of service']",0.23,A_def
I get excited and don\&#039;t think things through. I rely on short term stimulus and then have to work out how i will really make something happen. I get angry at myself and blame it on theories closest to me.,"['excited and', 'I get', 'don t think things through', 'I rely on short term stimulus and', 'then have to work out', 'how i will really make', 'something happen', 'I get angry at myself and', 'blame it on theories closest to me']",0.28,A_def
"more people were considerate of the planet, their decisions and actions.",['more people were considerate of the planet their decisions and actions'],0.2,A_pron_x
I feel my body respond.,"['I feel', 'my body respond']",0.27,A_pron_x
"was to be her true, authentic self, I think she would be happier in many respects and sad in some others.","['was to be her true authentic self', 'I think', 'she would be happier in many respects and sad in some others']",0.21,A_pron_x
Gives me so many ways to practice and evolve but is often still tiring for me,"['Gives me so many ways', 'to practice and', 'evolve but', 'is often still tiring for me']",0.24,A_def
me.,['me'],0.03,Undefined
"I feel for them. Many times I have seen myself in them, which has led me to feel judgemental some times, and compassionate other times.","['I feel for them', 'Many times I have seen myself in them', 'which has led me to feel judgemental some times and compassionate other times']",0.2,P_get_x
"have a very close relationship. Although I may seem quite independent at times since I enjoy spending a lot of time on my one &#x28;going to yoga class, reading and learning from books, meditating, dancing, playing sports, going for a run, writing...&#x29;, I treasure my relationship with my friends. I specially like sharing deep thoughts and feelings with a couple of friends who like to go \&quot;deeper\&quot; into a few topics like I do and I really enjoy talking about life purpose, appreciation, values, life choices... with them. However, I also enjoy sharing time and simply having fun with all my friends, regardless of what they think or do.","['have a very close relationship', 'Although I may seem quite independent at times', 'since I enjoy spending a lot of time on my one', 'going to yoga class reading and', 'learning from books', 'meditating dancing playing sports', 'going for a run writing', 'I treasure my relationship with my friends', 'I specially like', 'sharing deep thoughts and feelings with a couple of friends', 'who like to go deeper into a few topics', 'like I do', 'and I really enjoy talking about life purpose appreciation values life choices with them', 'However I also enjoy sharing time and', 'simply having fun with all my friends regardless of', 'what they think or do']",0.25,A_def
"in selecting teams, I felt hurt.  I never liked kids taking it in turn to pick kids for their team as on a few occasions I was picked last.  I told my dad &#x28;the coach&#x29; not to select teams like that as it can make the last kid feel really bad.  He took my advice.","['in hurt', 'selecting teams', 'I felt', 'I never liked kids as on a few occasions', 'taking it in turn', 'to pick kids for their team', 'I was picked last', 'I told my dad the coach not to select teams like that', 'as it can make', 'the last kid feel really bad', 'He took my advice']",0.29,A_def
"a process of defense, consideration, values, perspective, and response occurs - sometimes it takes 500 milliseconds and sometimes it takes a little longer. The process can be cyclical.","['a process of defense consideration values perspective and response', 'occurs sometimes', 'it takes 500 milliseconds and', 'sometimes it takes a little longer', 'The process can be cyclical']",0.26,Undefined
I want to help.,['I want to help'],0.06,A_def
is both illusion and actual.,['is both illusion and actual'],0.27,P_bevb_x
only a main problem if I think it is.,"['only a main problem', 'if I think', 'it is']",0.23,Undefined
"subject becoming object, ad infinitum, until there is simply all-that-is unfolding.","['subject', 'becoming object ad infinitum', 'until there is simply all', 'that is unfolding']",0.33,A_def
share physical activities with others and feel the energy that pulses from each person.,"['share physical activities with others and', 'feel the energy', 'that pulses from each person']",0.23,Undefined
are sometimes judged unfairly by others because they reveal the artificiality of what is \&quot;expected.\&quot;,"['are sometimes judged unfairly by others', 'because they reveal the artificiality of', 'what is expected']",0.29,A_def
is in a transition point right now and could be so much more in service to the global good. ,"['is in a transition point right now and', 'could be so much more in service to the global good']",0.19,P_bevb_x
I speak poorly of others.,['I speak poorly of others'],0.11,A_def
"I kept going, maybe giving it a quick thought as to \&quot;why?\&quot;, but generally thinking or expecting that if they WERE avoiding me, it would soon become clear, either by their consistent avoiding behavior or by me going to ask them about their behavior.","['I kept going maybe giving it a quick thought as to why but', 'generally thinking or', 'if they WERE avoiding me', 'that it would soon become clear either by their consistent avoiding behavior or by me', 'going to ask them about their behavior']",0.34,A_def
I\'m mean to someone.,['I m mean to someone'],0.09,A_def
hmmm... I\&#039;m stumped. I have no idea how to respond to this... Although there is a sense of relief...,"['I have no idea', 'how to respond to this', 'Although there is a sense of relief']",0.19,P_bevb_x
"that I am continually learning new things about life, growing spiritually, and sharing what I am experiencing with others who are on a similar journey. What a great honor it is to live this life in ever evolving awareness.","['that I am continually learning new things about life growing spiritually and', 'what I am experiencing with others', 'who are on a similar journey', 'What a great honor it is to live this life in', 'ever evolving awareness']",0.26,P_bevb_x
"trying to \&#039;wrestle with the angel\&#039;.  The Vision is so Vast, there is no way that my human mind can \&#039;wrap itself around it\&#039;.  It doesn\&#039;t know how.  Interestingly, my virtual assistant, Melanie Davis, whom I\&#039;ve never met \&#039;face to face\&#039;, brought to my awareness the Mission of Called By Love Institute when she said that the two people who are part of our core team working on building the new website seem to be doing it!  The Mission calls it \&#039;Harnessing the Power of Love…\&#039;","['trying to wrestle with the angel', 'The Vision is so Vast', 'there is no way', 'that my human mind can wrap itself around it', 'It doesn t know how Interestingly my virtual assistant Melanie Davis', 'I ve never met face whom to face', 'brought to my awareness the Mission of', 'Called By Love Institute', 'when she said', 'who are part of our core team', 'working on', 'building the new website', 'that the two people seem to be doing it', 'The Mission calls it Harnessing the Power of Love']",0.19,A_pron_x
"Difficult, frustrating, fearful yet beautiful, profound and transforming - The universal-will is always in flux, and how I align myself with this movement has a direct effect on my peace of mind.","['Difficult frustrating fearful yet beautiful profound and', 'transforming The universal', 'will is always in flux and', 'how I align myself with this movement', 'has a direct effect on my peace of mind']",0.27,A_def
is to be respected and not invaded. Different people have different requirements for privacy.,"['is to be respected and', 'not invaded', 'Different people have different requirements for privacy']",0.34,A_def
Meditate and rest in bliss. In that place and space there is nothing ever missing and the mind can finally stop seeking and just shut up and be. I also enjoy snuggling my children and cat.,"['Meditate and', 'rest in bliss', 'In that place and space there is nothing and', 'ever missing', 'the mind can finally stop seeking and', 'just shut up and be', 'I also enjoy snuggling my children and cat']",0.24,A_def
"I get angry and sometimes I express it alone, other times it gets repressed, other times I feel it move through me. Other times I express it and my mind vents itself through various ways. I am not afraid of getting mad, only careful not to hurt other beings with that mad if it arises. Sometimes the anger energy is directed by the soul and does something that re-directs another being in a way that I would not normally do myself. It does not happen much, but it does occur. I can tell when it is that and we my ego is just being reactive.","['I get angry and', 'sometimes I express it alone other times', 'it gets repressed other times', 'I feel', 'it move through me', 'Other times I express it and my mind', 'vents itself through various ways', 'I am not afraid of', 'getting mad only careful not to hurt other beings with that mad', 'if it arises', 'Sometimes the anger energy is directed by the soul and', 'does something', 'that re', 'directs another being in a way', 'that I would not normally do myself', 'It does not happen much', 'but it does occur', 'I can tell', 'when it is that', 'and we my ego is just being reactive']",0.19,P_get_x
"if I am depleted, I tend to take the criticism as an attack.  When I am full, I see the criticism as feedback from someone else, discern what I find helpful in my own growth, and how I want to respond given the core message they are trying to deliver and the situation in total.","['if I am depleted', 'I tend to take the criticism as an attack', 'When I am full', 'I see', 'the criticism as feedback from someone else discern', 'what I find helpful in my own growth and', 'I want how to respond', 'given the core message and the situation in total', 'they are trying to deliver']",0.2,A_def
"is a joy and a challenge.  I find people fascinating.  I love hearing their stories, their dreams and their challenges.  Every person brings a different perspective to the world.  They are both my teachers and students.  My physical consciousness is changed by each person I meet and interact with -- sometimes consciously, sometimes not.  Each person is different each time I interact with them, and yet they are not.  Experiencing these differences and similarities helps me grow and evolve.  In these interactions, up until now I tend to absorb others\' energy (or rather it resonates with energy already inside of me).  I continue to practice staying with what is in this moment so that as my energy \""goes up and down\"" with that resonance, it does not get stuck in my body.","['is a joy and a challenge', 'I find people fascinating', 'I love hearing their stories their dreams and their challenges', 'Every person brings a different perspective to the world', 'They are both my teachers and students', 'My physical consciousness is changed by each person', 'I meet and', 'interact with sometimes', 'consciously sometimes not Each person is different each time', 'I interact with them', 'and yet they are not Experiencing these differences and similarities', 'helps', 'me grow and', 'evolve In these interactions up until now', 'I tend to absorb others energy or already inside of me', 'rather it resonates with energy', 'I continue to practice staying with', 'what is in this moment', 'as my energy goes up and down with that resonance', 'not get', 'so that it does stuck in my body']",0.23,A_def
I feel sorry when a situation deteriorates knowing it was caused by misperceptions and miscommunication.,"['I feel sorry', 'when a situation deteriorates knowing', 'it was caused by misperceptions and miscommunication']",0.36,A_def
"is a cosmos raising its fullness. The concrete, subtle and causal flourishing emerges from an ocean of eternal wholeness. Within each moment is an eternity birthing an eternity in motion and this motion gestures and forms its way through matter, through emotion, through mind, through spirit. Family is this; a collective flourishing of a fullness nested within an emptiness. Every face, context, emotional, mental, and causal articulation, is the One ocean weaving its vast impregnated soul in a myriad of nuances. Every face is one collective motion through all levels all layer of concrete, subtle causal. Every face is the One eternal face. Raising a family is the Divine-as-parent embracing the Divine-as-child, both embracing as Godhead and becoming each nuanced heart of the illusion of other. The sacred heart is everywhere and is the fabric is everything. The family is a small collective nested within the ocean of constituting God-threads.","['is a cosmos', 'raising its fullness', 'The concrete subtle and causal flourishing emerges from an ocean of eternal wholeness Within each moment is an eternity', 'birthing an eternity in motion and this motion gestures and through spirit Family', 'forms its way through matter through emotion through mind', 'is this a collective flourishing of a fullness', 'nested within an emptiness', 'Every face context emotional mental and causal articulation is the One ocean', 'weaving its vast impregnated soul in a myriad of nuances', 'Every face is one collective motion through all levels all layer of concrete subtle causal', 'Every face is the One eternal face', 'Raising a family', 'is the Divine as parent', 'embracing the Divine as', 'child both embracing as Godhead and', 'becoming each nuanced heart of the illusion of other The sacred heart', 'is everywhere and', 'is the fabric', 'is everything', 'The family is a small collective', 'nested within the ocean of', 'constituting God threads']",0.22,P_bevb_x
"Is like sitting within the sacred heart of God. We are all in the room of Its expansive heart, embracing us, passing through us, forming every bit of who we are and the life that holds us. Being with other people allows a \&#039;sliding\&#039; of the self within \&#039;me\&#039; to become the multiplicity of selfs that are the fullness of the emptiness of the One. Here we are at the same time above all the motion, above all the qualities, and at one with all the motions and all the qualities; to simultaneously be beyond the many, and infused as the many, taking on all the faces of the Divines self as one own heart; the heart of the heart that both holds us all and is the fabric of us all.","['Is like', 'sitting within the sacred heart of God', 'We are all in the room of Its expansive heart', 'embracing us passing through us forming every bit of and the life', 'who we are', 'that holds', 'us Being with other people', 'allows', 'a sliding of the self within me to become the multiplicity of selfs', 'that are the fullness of the emptiness of the One', 'Here we are at the same time above all the motion above all the qualities and at one with all the motions and all the qualities', 'to simultaneously be beyond the many and', 'infused as', 'the many taking on all the faces of the Divines self as one own heart the heart of the heart', 'that both holds us all and', 'is the fabric of us all']",0.22,A_def
"is the mind of meaning making being propelled by the \&#039;Mind\&quot; of god to move and interact with itself to arrive at what feels like moments of fruition. At a wider holding, there is no need to make meaning, but within that, the one Ocean serves itself as threads through time and in space forming an evolution of matter, to mind, to soul, to illumination…in this trajectory, education is the process by which the whole feeds the whole to fulfill its desire to create meaning, and then go beyond it…however, the creation of the meaning and the creation of the no need to make meaning, are the majestic causal forces; an eternity forming endless distinction that beautifully build upon each other as the Causal Ocean creates a fullness within an emptiness.","['is the mind of meaning making being propelled by the Mind of god to move and', 'interact with itself', 'to arrive at', 'what feels like moments of fruition At a wider holding', 'there is no need but', 'to make meaning', 'within that the one Ocean serves itself as threads through time and', 'forming an evolution of matter in this trajectory education', 'to mind to soul to illumination', 'in space is the process', 'by which the whole feeds the whole', 'to fulfill its desire and', 'to create meaning', 'then go beyond it however', 'to make meaning', 'the creation of the meaning and the creation of the no need are the majestic causal forces', 'forming endless distinction', 'that beautifully build upon each other as the Causal Ocean', 'an eternity creates a fullness within an emptiness']",0.29,A_def
"identifies with every employee as an expression and outpouring of the One. He or she can \&#039;slide\&#039; into multiple perspectives and qualities of being, and stage perspectives simultaneously, while at the same time identify with something beyond these perspectives and qualities. A good boss is moved and constituted by the Source. Actions are initiated by a following forth of a fullness emerging from a Wholeness, moving through the boss and forming the boss. Knowings come straight from the causal whole, about how to move and about the complex dynamics that arise within group life. The \&#039;call\&#039; is the natural resting into the ever-present Ocean of Delight. The response is the causal sacred heart that exists through the outside to the inside and vice versa interpenetrating with and illuminating the actions of the individual in the form of a boss. But to stop here, portrays an image of unity as a veil separate from the unity within division. A good boss is an uprightness that is expressed through every stage of development, through multiple faces as the causal wholeness moves through and forms the multiple layers of the collective &#x28;concrete, subtle, causal, and beyond&#x29;. A good boss could never be an expression of one perspective, even a huge perspective, even a unity perspective. To do that renders the unity perspective incomplete and divided. A good boss is the stone that emanates antiquity and profound spaciousness. A good boss is the tree that grows towards the sun. A good boss, is the squirrel that remains forever committed to the qualities of squirrel. A good boss is the six year old that cares for the two year old and the infant who cries out in need. A good boss, is the teenager that rebels against his or her family collective and the 28 year old who gives up knowing everything and begins to learn something. A good boss is everywhere as threads of the eternal ocean articulating itself in infinite ways; a multiplicity of faces, qualities, perspectives and capacity for perspective taking. The embodiment of the first person perspective is a good boss as is an embodiment of the 7th person perspective. The good Boss is the whole thing, the entire fullness, across its whole spectrum; a simultaneous impregnation of the One through the Many; a simultaneous expression of a unity as a multiplicity as a unity.","['identifies with every employee as an expression and outpouring of the One', 'He or she can slide into multiple perspectives and qualities of being and stage perspectives simultaneously', 'while at the same time identify with something beyond these perspectives and qualities', 'A good boss is moved and', 'constituted by the Source Actions', 'are initiated by', 'a following forth of a fullness', 'emerging from a Wholeness', 'moving through the boss and', 'forming the boss about the complex dynamics', 'Knowings come straight from the causal whole about', 'how to move and', 'that arise within group life', 'The call is', 'the natural resting into the ever present Ocean of Delight', 'The response is the causal sacred heart', 'that exists through the outside to the inside and vice versa', 'interpenetrating with and', 'illuminating the actions of the individual in the form of a boss But', 'to stop here', 'portrays an image of unity as a veil separate from the unity within division', 'A good boss is an uprightness', 'that is expressed through every stage of development through multiple faces as', 'the causal wholeness moves through and forms the multiple layers of the collective concrete subtle causal and beyond A good boss', 'could never be an expression of one perspective even a huge perspective even a unity perspective', 'To do', 'that renders the unity perspective incomplete and divided', 'A good boss is the stone', 'that emanates antiquity and profound spaciousness', 'A good boss is the tree', 'that grows towards the sun', 'A good boss is the squirrel', 'that remains', 'forever committed to the qualities of squirrel', 'A good boss is the six year old', 'that cares for the two year old and the infant', 'who cries out in need', 'A good boss is the teenager that rebels against his or her family collective and the 28 year old', 'who gives up knowing everything and', 'begins to learn something', 'A good boss is everywhere', 'articulating itself in infinite ways', 'a multiplicity of faces qualities perspectives and capacity for perspective', 'taking The embodiment of the first person perspective', 'as threads of the eternal ocean is a good boss', 'as is an embodiment of the 7th person perspective', 'The good Boss is the whole thing the entire fullness across its whole spectrum a simultaneous impregnation of the One through the Many a simultaneous expression of a unity as a multiplicity as a unity']",0.34,A_def
"doesn\&#039;t exist but as a living motion arising in the present. 14 billion years of fullness are nested within eternity and in this single moment in space we can prehend our shared concrete, subtle and causal heritage. All of existence on every level, all experiences of all time, and every quality of the One arrives here in every moment to constitute us. The One constituting us as multitudes; as collective; as concrete, subtle, and causal systems building itself through itself as one precious, single moment.","['doesn t exist but', 'arising in the present 14 billion years of fullness', 'as a living motion are nested within eternity and', 'in this single moment in space we can prehend our shared concrete subtle and causal heritage All of existence on every level all experiences of all time and', 'every quality of the One arrives here in every moment', 'to constitute us The One', 'constituting us as multitudes as collective as', 'concrete subtle and causal systems building itself through itself as one precious single moment']",0.24,A_pron_x
"exists at the subtle and concrete levels as a necessary means to protect and reify separation. But from another view, there is no such thing as privacy. Feeling into our shared body, heart, soul, mind, and spirit, through the multiplicity of forms is effortless and immediately available. Feeling into \&#039;another\&#039;s\&#039; world is the same as feeling into \&#039;one\&#039;s own\&#039; world, because they are the same collective world. There is only one mind that we live through, only one spirit, only one emotional landscape. And it belongs to all of us, although some are blind to it, while some of us step into the collective treasury. In this wide heart, the entire kosmos is within us and we are within it simultaneously. Every form is a doorway into a collective concrete, subtle and causal Ocean where notions of privacy become mute.","['exists at the subtle and concrete levels as a necessary means But', 'to protect and', 'reify separation', 'from another view there is no such thing', 'privacy Feeling into our shared body heart soul mind and spirit through the multiplicity of forms', 'as is effortless and immediately available', 'Feeling into another s world', 'is the same as', 'feeling into one s own world', 'because they are the same collective world', 'There is only one mind', 'we live that through only one spirit only one emotional landscape', 'And it belongs to all of us', 'although some are blind to it', 'while some of us step into the collective treasury In this wide heart', 'the entire kosmos is within us and', 'we are within it simultaneously', 'Every form is a doorway into a collective concrete subtle and causal Ocean', 'where notions of privacy become mute']",0.27,A_def
"I do not have a main problem. Problems come with a need to derive meaning and solve the experience of separation. This has ceased. Meaning is generated by the whole collective on all levels of concrete, subtle, causal epistemologies. Although I can slide into any epistemology directly, the place within which my singular \&quot;I\&quot; rests, and is merged with is beyond the need to make meaning and hence, there are no problems. Any issue wanting completion, fruition, exploration, arises in the moment as the Causal Whole constitutes itself through the concrete, subtle, and causal bodies. Here the collective layers move through a particular and bring an invitation to embrace the whole through the extension of the whole through a \&#039;me\&#039;.","['I do not have a main problem', 'Problems come with a need', 'to derive meaning and', 'solve the experience of separation', 'This has ceased Meaning', 'is generated by the whole collective on all levels of concrete subtle causal epistemologies', 'Although I can slide into any epistemology directly the place', 'within which my singular I rests and', 'is merged with', 'is beyond the need and', 'to make meaning', 'hence there are no problems', 'completion fruition exploration arises in the moment', 'as the Causal Whole constitutes itself through the concrete subtle and causal bodies', 'Here the collective layers move through a particular and', 'bring an invitation', 'to embrace the whole through the extension of the whole through a me']",0.24,A_def
"the anger is both a collective and personal phenomenon. I am identified with something that spans all of existence and can appear in the form of causal rain. Causal rain is the kosmic, causal healing forces that interact with the whole as it is swirled into a particular. The anger in \&#039;me\&#039; is the same as the anger in anyone of us; we are all portals into the collective domain of emotion, mind, soul, and spirit. When anger arises I identify with the causal rain; the causal territory that is above, around, within, without, the place beyond time. My interior witness, watches the anger, my interior witness merges and identifies with the Causal Whole that is everywhere, inside and outside and all around. It also identifies with the anger. there is a simultaneous identification with the Divine Sacred Heart in multiple faces, as wholeness on the inside, wholeness on the outside, wholeness that runs through everything and spans an eternity. And wholeness that appears as division in the form of anger. The anger wants fruition, as does all postures prior to a full identification with unity. Unity does not favor and experience of wholeness over an experience of division because for Unity, anger is just as much the whole as is bliss. The whole, embraces the anger as would an enlightened guru embrace their disciples. The anger, in the process of being held by infinite light and love from every direction begins to soften and show its vulnerability. It then softens even more and becomes liberated. Anger is something from the whole that desires liberation and fruition. It becomes held by something that does not seek liberation and is the embodiment of fruition. Anger is a unity veiled as a non-unity. It wants to merge back into it origin. \&#039;I\&#039; become all of these things simultaneously, which is actually all of it identifying with all of it.","['the anger is both a collective and personal phenomenon', 'I am identified with something and', 'that spans all of existence', 'can appear in the form of causal rain Causal rain', 'is', 'that interact with the whole', 'as it is swirled into a particular The anger in me', 'the kosmic causal healing forces is the same as the anger in anyone of us', 'we are all portals into the collective domain of emotion mind soul and spirit', 'When anger arises', 'I identify with the causal rain the causal territory', 'that is above around within without the place beyond time', 'My interior witness watches the anger my interior witness merges and', 'identifies with the Causal Whole', 'that is everywhere inside and outside and all around It', 'also identifies with the anger', 'there is a simultaneous identification with the Divine Sacred Heart in multiple faces as wholeness on the inside wholeness on the outside wholeness', 'that runs through everything and', 'spans an eternity And wholeness', 'that appears as division in the form of anger', 'The anger wants fruition', 'as does all postures prior to a full identification with unity Unity', 'does not favor and experience of wholeness over an experience of division', 'because for Unity anger is just as much the whole', 'as is bliss', 'The whole embraces the anger', 'as would an enlightened guru embrace their disciples', 'being held by infinite light and love from every direction', 'The anger in the process of begins to soften and', 'show its vulnerability', 'It then softens even more and', 'becomes liberated Anger', 'is something from the whole', 'that desires liberation and fruition', 'It becomes held by something', 'that does not seek liberation and', 'is the embodiment of fruition', 'Anger is a unity', 'veiled as a non unity', 'It wants to merge back into it origin', 'I become all of these things simultaneously', 'which is actually all of it', 'identifying with all of it']",0.32,A_pron_x
"I could just simply walk through the garden of life poised within the eternal ease that is its very nature, and not have to act upon a single thing. I can hold action as a motion and gesture of becoming and I can embrace and allow life to fulfill itself through me in that way, but my wish is to just be, as eternity and as Sacred Delight. The world is filled with so many of us that still want to make meaning and want to use their will to become a perpetual unfolding and fruition. Life, and the mystery it pours out of wants this. For me, this needs has gone. I don\&#039;t need to know things, to create things, to will things. I will engage in that if life asks it of me, and very often it does, but for me, just sitting still, merging with the permeating gentle arms of that which fills all space with Love and allowing what is to be what is, is what feels best. With so much of the mind-of-God-as-fullness engaging in making meaning, I don\&#039;t need to participate, per se. that part of me &#x28;the multiple collectives of concrete, subtle, causal fullness&#x29; is participating just fine and has been for billions of years. For me to be \&#039;around\&#039; as the field of Love that has always been holding everything; that feels best.","['I could just simply walk through the garden of life', 'poised within the eternal ease', 'that is its very nature and', 'not have to act upon a single thing', 'I can hold action as a motion and gesture of becoming and', 'I can embrace and', 'allow', 'life to fulfill itself through me in that way', 'but my wish is to just be as eternity and as Sacred Delight', 'The world is filled with so many of us', 'that still want to make meaning and', 'want to use their will to become a perpetual unfolding and fruition Life and the mystery', 'it pours out of wants', 'this For me this needs has gone', 'I don', 't need to know things to create things', 'to will things', 'I will engage in that', 'if life asks it of me and', 'very often it does but for', 'me just sitting still merging with the permeating gentle arms of that', 'which fills all space with Love and', 'what is to be', 'what is', 'is se', 'what feels best With so much of the mind of God', 'engaging in', 'making meaning', 'I don', 'as fullness t need to participate per', 'that part of me the multiple collectives of concrete subtle causal fullness is participating just fine and', 'has been for billions of years', 'For me to be around as the field of Love', 'that has always been holding everything', 'that feels best']",0.22,A_def
i mostly take it personally and wonder what i have done wrong.   I sometimes tell myself I am not good enough and am broken in some way.,"['i mostly take it personally and', 'wonder', 'what i have done wrong', 'I sometimes tell myself', 'I am not good enough and', 'am broken in some way']",0.3,P_bevb_x
"it is one face of divinity noticing separation and responding. Every movement is a movement of an Ocean reaching into concrete, sublet and causal forms. it swirls at different rates which hold different noticing…we see what we have not loved and embraced as the ocean of delight. When someone see my form and shape and  criticizes it, it is the divine looking at me and emendating its beauty towards itself in the collective.","['it is one face of divinity', 'noticing separation and', 'responding Every movement', 'is a movement of an Ocean', 'reaching into concrete sublet and causal forms at different rates', 'it swirls', 'which hold different noticing', 'we see', 'what we have not loved and', 'embraced as the ocean of delight', 'When someone see my form and shape and', 'criticizes it', 'it is', 'the divine looking at me and', 'emendating its beauty towards itself in the collective']",0.26,A_def
"is a giving back to the seeds planted by the Kosmic ocean. Through the exchange of the infinite Delight it moves through the \""me\"" and asks for an unfolding of what it give to offer back to the whole. Work is also the causal ocean \""out there\"" moving and calling forth itself from within this swirl, this form…My \""i\"" and work is constituted by the Whole through all layers and levels of concrete, subtle and causal….","['a giving back to the seeds', 'planted by the Kosmic ocean Through the exchange of the infinite Delight', 'it moves through the me and', 'asks for an unfolding of', 'what it give to offer back to the whole Work', 'is also the causal ocean out there', 'moving and', 'calling forth itself from within this swirl this form', 'My i and work is constituted by the Whole through all layers and levels of concrete subtle and causal']",0.18,Undefined
"Is being nested within the eternal field that moves through and within everything. Charged as though all animate and inanimate forms are breathing, being breathed by the causal whole, so too, being with other people is being with all forms and the divine currents that extend Everywhere. It is like feeling and seeing the Divine Eternity at eternal play within itself; the One through the many as we all dance as fullness, nested within a eternal expanse...","['Is being nested within the eternal field', 'that moves through and within everything', 'Charged', 'all animate and inanimate forms', 'as though are breathing', 'being breathed by the causal whole', 'so too being with other people', 'is being with all forms and the divine currents', 'that extend', 'Everywhere It is like', 'feeling and', 'seeing the Divine Eternity at eternal play within itself the One through the many', 'as we all dance as fullness', 'nested within a eternal expanse']",0.22,A_def
"lay back and live the window that I have become…as if a home with no walls, the infinite moves through as if there is no solid boundary….the veil is no more and the whole field that is everywhere exists where the inside and outside have no difference. ","['lay back and', 'live the window', 'I have become as if a home with no walls the infinite moves that through', 'as if there is no solid boundary', 'the veil is no more and', 'that is everywhere', 'the whole field exists', 'where the inside and outside have no difference']",0.23,P_bevb_x
"we could see that the essence of who we are in unity and in variation are two side of one coin of Wholness…IF we could see all \""other\"" as our very own self, we could become privy to a Love that heals, that gently embraces the ways an Eternity postures and veils itself as a separation. in this embrace, the separation melts, because God is embraced at any level it shows its beautiful face…in that embrace we feel heard and we feel whole...","['embrace', 'we could see', 'who we are in unity and in variation', 'that the essence of are two side of one coin of Wholness', 'IF we could see all other as our very own self', 'we could become privy to a Love', 'that heals', 'that gently embraces the ways an Eternity postures and', 'veils itself as a separation in this', 'the separation melts', 'because God is embraced at any level', 'it shows its beautiful face in that embrace and', 'we feel heard', 'we feel whole']",0.21,A_def
"The ocean and the wind, the child and the rain. I am hell, and evil, and the good, and the beautiful. I am everything, the Delight, the Causal wind that blows through and constitutes all things. I am the fullness and the emptiness. I am everyone and everything is me…we are all the Delight and Richness of an Eternal Song of Celestial infinity.","['The ocean and the wind the child and the rain', 'I am hell and evil and the good and the beautiful', 'I am everything the Delight the Causal wind', 'that blows through and', 'constitutes all things', 'I am the fullness and the emptiness', 'I am everyone and everything', 'is me', 'we are all']",0.19,Undefined
"It is the concrete or subtle gestures of the whole desiring a fruition. Through them, whether in \'me\' or in an \'other\', there is an emanation of the causal wholeness moving through it. As anything that manifests through this form or that, it is embraced in many ways simultaneously..the part of the whole manifesting as separation and being mad, the whole causal universe, the relationship between the veil of separation and the wholeness and the liberation of the whole-as-separation back to its own true self","['It is the concrete or subtle gestures of the whole whether in me or', 'desiring a fruition Through them', 'in an other there is an emanation of the causal wholeness or', 'moving through it As anything', 'that manifests through this form', 'that it is embraced in many ways simultaneously the part of and', 'the whole manifesting as separation', 'being mad the whole causal universe the relationship between the veil of separation and the wholeness and the liberation of the whole as separation back to its own true self']",0.25,A_pron_x
"rested into the nest of Love that is our very own heart, she would know that she has always been home. In her pain, she sings a haunting song in which she herself is sung by the variations of the Divine. In her pain and sadness, I see God singing its beautiful song of love and song of fullness.","['rested into the nest of Love', 'that is our very own heart', 'she would know', 'that she has always been home', 'In her pain she sings a haunting song', 'in which she herself is sung by the variations of the Divine', 'In her pain and sadness I see', 'God singing its beautiful song of love and song of fullness']",0.17,P_bevb_x
was a thread of eternity through the instant of fullness that is the last 14 billion years. ,"['was a thread of eternity through the instant of fullness', 'that is the last 14 billion years']",0.16,P_bevb_x
is a right not to be taken lightly as it can so easily be jeopardized and lost in today\'s information age and electronic information sharing world.,"['is a right', 'not to be taken lightly', 'as it can so easily be jeopardized and', 'lost in today s information age and electronic information sharing world']",0.28,A_def
I usually see it as a projection that I need to process.   Anger points the way to something in myself I need to look at.  ,"['I usually see it as a projection', 'I need that to process', 'Anger points the way to something in myself', 'I need to look at']",0.26,A_def
not having the patience to wait for outcomes or decisions.,"['not having the patience', 'to wait for outcomes or decisions']",0.18,A_def
